# x,y,z,is_reachable
-0.182,-0.382,-0.038,1.0
-0.270,-0.419,-0.044,0.0
-0.270,-0.419,-0.044,0.0
-0.270,-0.419,-0.044,0.0
-0.270,-0.419,-0.044,0.0
-0.270,-0.419,-0.044,0.0
-0.026,-0.188,0.436,1.0
-0.432,0.018,-0.032,1.0
-0.232,-0.382,-0.038,1.0
-0.469,-0.195,0.456,1.0
-0.320,-0.369,-0.044,0.0
-0.320,-0.369,-0.044,0.0
-0.320,-0.369,-0.044,0.0
-0.320,-0.369,-0.044,0.0
-0.320,-0.369,-0.044,0.0
-0.026,-0.188,0.436,1.0
0.262,-0.226,0.074,1.0
0.355,-0.019,-0.044,1.0
0.355,-0.019,-0.044,1.0
-0.445,0.081,-0.044,0.0
-0.445,0.081,-0.044,0.0
-0.220,-0.332,-0.051,1.0
-0.220,-0.282,-0.001,1.0
-0.232,-0.195,-0.001,1.0
-0.220,-0.282,-0.001,1.0
0.347,0.099,-0.081,0.0
0.347,0.099,-0.081,0.0
0.468,-0.082,-0.032,0.0
-0.007,-0.570,0.018,1.0
-0.445,0.005,-0.044,0.0
-0.419,-0.369,0.231,1.0
0.287,-0.176,0.124,1.0
0.324,0.199,-0.001,1.0
0.374,0.174,0.074,0.0
0.543,-0.207,0.118,1.0
0.205,-0.544,0.005,0.0
0.018,-0.582,0.368,1.0
0.543,-0.207,0.118,1.0
-0.220,-0.519,0.005,0.0
-0.220,-0.519,0.005,0.0
0.555,0.005,0.381,0.0
0.555,0.005,0.381,0.0
-0.107,-0.570,0.018,0.0
-0.419,0.030,-0.044,1.0
0.468,-0.132,-0.032,0.0
-0.226,0.030,0.418,0.0
-0.519,0.030,0.256,1.0
-0.119,-0.519,0.355,1.0
-0.057,0.193,0.218,0.0
0.418,0.043,0.593,0.0
0.374,0.174,0.025,1.0
0.568,-0.132,0.218,1.0
-0.595,0.005,0.105,0.0
-0.419,0.030,-0.044,1.0
0.056,-0.395,0.081,1.0
0.105,-0.270,0.606,1.0
0.218,-0.182,0.318,1.0
0.381,-0.044,0.030,1.0
-0.207,-0.107,0.043,1.0
-0.007,0.243,0.218,0.0
-0.332,-0.232,0.618,0.0
-0.182,0.118,0.118,0.0
0.180,0.155,0.081,1.0
-0.182,0.018,0.268,0.0
-0.469,-0.320,0.231,1.0
-0.519,0.030,0.256,1.0
-0.320,0.056,0.081,1.0
0.168,-0.307,0.193,1.0
0.305,-0.469,0.105,1.0
0.355,-0.320,0.406,1.0
-0.119,0.256,0.155,0.0
0.568,-0.082,0.218,1.0
0.243,0.193,0.143,1.0
0.353,-0.025,0.075,1.0
-0.471,-0.328,0.289,1.0
-0.220,-0.332,-0.051,1.0
-0.072,-0.533,0.108,1.0
0.056,-0.395,0.081,1.0
0.318,-0.407,0.343,1.0
0.231,-0.170,0.606,1.0
