# x,y,z,is_reachable
-0.366,-0.385,0.071,1.0
0.073,-0.075,0.558,1.0
-0.504,-0.051,0.258,1.0
-0.501,-0.084,0.360,1.0
-0.379,-0.478,0.159,1.0
-0.300,-0.044,0.218,1.0
-0.344,0.093,0.131,1.0
-0.304,-0.268,0.556,1.0
-0.232,-0.070,0.305,1.0
-0.232,-0.095,0.575,1.0
-0.170,-0.532,0.155,1.0
-0.084,-0.489,0.456,1.0
0.081,-0.482,0.005,1.0
0.030,-0.170,0.668,1.0
0.059,-0.080,0.670,1.0
0.155,-0.582,0.231,1.0
0.155,-0.519,0.093,1.0
0.180,-0.294,0.243,1.0
0.231,-0.057,0.305,1.0
0.258,0.068,0.043,0.0
0.003,-0.284,0.270,1.0
-0.546,-0.097,0.096,1.0
0.081,-0.482,-0.019,1.0
0.081,-0.082,0.456,1.0
0.389,-0.122,0.570,1.0
-0.546,-0.097,0.096,1.0
-0.244,-0.144,0.318,1.0
-0.173,-0.350,-0.030,1.0
-0.207,-0.170,0.600,1.0
0.105,-0.482,-0.019,1.0
0.105,-0.482,-0.019,1.0
0.519,-0.072,0.389,1.0
0.385,-0.113,0.571,1.0
-0.332,0.105,0.256,1.0
-0.357,-0.294,0.406,1.0
0.030,-0.620,0.118,1.0
0.155,-0.326,-0.025,1.0
0.256,-0.519,0.068,1.0
0.456,0.018,-0.019,1.0
-0.340,0.158,0.096,1.0
-0.508,-0.278,0.314,1.0
-0.304,-0.128,0.088,1.0
-0.332,0.105,0.256,1.0
-0.207,-0.119,0.549,1.0
0.030,-0.620,0.118,1.0
0.105,-0.482,0.005,1.0
0.105,-0.482,0.005,1.0
-0.278,-0.352,0.519,1.0
0.418,-0.170,0.005,1.0
0.389,-0.122,0.570,1.0
0.456,0.018,-0.019,0.0
0.264,-0.110,0.264,1.0
-0.254,0.024,0.418,0.0
-0.254,0.024,0.418,1.0
0.543,-0.207,0.086,1.0
0.253,-0.115,0.279,1.0
0.543,-0.207,0.086,1.0
0.543,-0.207,0.086,1.0
0.252,-0.110,0.276,1.0
0.397,0.017,0.154,0.0
0.362,0.066,0.066,1.0
0.351,-0.415,0.034,1.0
0.303,-0.089,-0.024,1.0
0.268,0.024,-0.007,0.0
0.393,0.037,-0.035,1.0
0.393,0.037,-0.035,1.0
-0.500,-0.270,0.069,1.0
0.321,-0.012,0.051,1.0
0.040,-0.360,0.071,1.0
0.040,-0.360,0.071,1.0
-0.334,0.258,0.077,0.0
-0.334,0.258,0.077,0.0
-0.330,-0.268,0.544,1.0
-0.268,-0.330,0.544,1.0
-0.146,-0.228,0.675,0.0
-0.263,-0.007,0.218,1.0
0.543,-0.177,0.279,1.0
0.065,-0.047,0.582,1.0
-0.108,-0.387,-0.027,1.0
0.413,0.024,0.167,1.0
-0.195,-0.132,0.643,1.0
-0.032,-0.560,0.061,1.0
-0.182,0.231,-0.051,0.0
-0.095,-0.257,0.643,1.0
0.413,0.024,0.167,1.0
-0.170,0.337,-0.032,1.0
-0.195,-0.132,0.643,1.0
0.018,-0.382,-0.070,0.0
-0.195,-0.132,0.643,1.0
-0.335,-0.192,0.584,1.0
-0.500,0.017,0.414,1.0
-0.500,0.017,0.414,1.0
-0.201,-0.132,0.643,1.0
0.311,-0.376,0.437,1.0
-0.407,0.052,0.293,1.0
0.474,-0.338,0.211,1.0
-0.557,0.018,0.168,1.0
0.474,-0.338,0.211,1.0
0.474,-0.338,0.211,1.0
-0.320,0.059,0.268,1.0
0.224,0.256,-0.025,1.0
-0.438,-0.188,0.011,1.0
0.090,-0.338,0.153,1.0
0.183,-0.141,0.652,1.0
0.305,0.086,0.243,1.0
-0.557,0.018,0.168,1.0
-0.035,-0.323,0.259,1.0
0.056,-0.207,0.655,1.0
0.305,-0.044,0.536,1.0
-0.407,0.052,0.293,1.0
-0.220,-0.013,0.649,1.0
0.462,0.018,0.268,1.0
-0.557,0.005,0.218,1.0
-0.393,0.044,0.456,1.0
-0.251,-0.001,0.630,1.0
-0.095,-0.257,0.643,1.0
-0.226,-0.119,0.637,1.0
-0.035,-0.323,0.259,1.0
0.005,-0.320,0.269,1.0
0.056,-0.207,0.655,1.0
-0.570,-0.150,0.174,1.0
-0.496,-0.288,0.312,1.0
0.093,-0.019,0.430,0.0
0.474,0.018,-0.019,1.0
-0.435,-0.192,0.409,1.0
-0.270,-0.019,0.443,1.0
0.474,0.018,-0.019,0.0
-0.032,-0.500,-0.032,1.0
-0.331,-0.022,0.399,1.0
-0.032,-0.500,-0.032,1.0
0.453,-0.107,-0.035,0.0
0.453,-0.107,-0.035,0.0
0.162,-0.257,0.168,1.0
0.390,-0.429,0.315,1.0
-0.133,-0.217,0.684,0.0
-0.561,-0.078,0.268,1.0
-0.469,0.030,-0.032,0.0
-0.270,-0.095,0.318,1.0
-0.469,0.030,-0.032,0.0
0.453,-0.107,-0.035,0.0
0.453,-0.107,-0.035,0.0
0.177,-0.235,0.165,0.0
-0.257,-0.488,0.418,1.0
0.231,-0.582,0.155,1.0
0.018,-0.500,-0.032,1.0
-0.355,-0.047,0.373,1.0
0.018,-0.500,-0.032,1.0
0.093,-0.563,0.030,1.0
0.093,-0.563,0.030,1.0
0.211,-0.369,-0.054,0.0
0.343,0.011,0.430,1.0
-0.044,-0.432,0.587,0.0
-0.044,-0.432,0.587,0.0
-0.332,-0.062,0.060,1.0
-0.561,-0.078,0.268,1.0
-0.332,-0.062,0.060,1.0
0.343,0.011,0.430,1.0
0.462,-0.305,0.047,1.0
0.462,-0.305,0.047,1.0
-0.558,-0.077,0.266,1.0
0.081,-0.582,0.256,1.0
-0.163,-0.125,0.578,1.0
-0.445,0.071,0.331,0.0
-0.270,-0.482,0.381,1.0
-0.232,-0.070,0.305,1.0
-0.144,-0.294,0.293,1.0
-0.157,-0.270,0.606,1.0
-0.091,-0.147,0.440,1.0
-0.084,-0.479,0.004,1.0
-0.026,-0.213,0.450,1.0
0.030,-0.170,0.668,1.0
0.131,-0.482,0.005,1.0
0.555,-0.182,0.256,1.0
-0.358,-0.059,0.507,1.0
-0.519,-0.294,0.218,1.0
-0.545,-0.089,0.101,1.0
0.018,-0.369,0.606,1.0
0.018,-0.369,0.606,1.0
0.480,-0.232,0.355,1.0
-0.545,-0.089,0.101,1.0
0.105,-0.282,0.180,1.0
0.205,-0.282,0.030,1.0
0.231,0.005,0.518,1.0
0.395,0.062,0.149,1.0
-0.352,-0.110,-0.035,1.0
0.155,-0.326,-0.025,1.0
0.105,-0.282,0.180,1.0
0.180,-0.282,0.030,1.0
0.456,0.018,-0.019,1.0
0.368,0.056,-0.019,1.0
-0.172,-0.035,0.507,1.0
-0.095,-0.032,0.505,1.0
0.105,-0.482,0.005,1.0
0.218,-0.570,0.105,1.0
0.105,-0.482,0.005,1.0
0.256,-0.057,0.305,1.0
-0.494,0.074,0.305,1.0
-0.352,-0.110,-0.035,1.0
-0.210,-0.548,0.283,1.0
0.231,0.005,0.518,1.0
0.418,-0.170,0.005,1.0
0.480,-0.144,0.418,1.0
0.368,0.056,-0.019,1.0
0.377,0.046,0.314,1.0
0.480,0.005,0.474,1.0
0.456,0.018,-0.019,1.0
0.168,-0.469,-0.019,1.0
0.256,-0.119,0.281,1.0
0.253,-0.115,0.279,1.0
0.227,-0.110,0.301,1.0
-0.065,-0.583,0.279,1.0
-0.019,-0.620,0.118,1.0
-0.300,0.041,0.493,1.0
-0.019,-0.620,0.118,1.0
0.339,-0.428,0.021,1.0
0.168,-0.244,0.180,1.0
0.240,-0.229,0.096,1.0
0.336,-0.029,0.046,1.0
-0.108,-0.112,0.637,1.0
0.027,-0.360,0.071,1.0
-0.096,-0.177,0.675,1.0
-0.500,-0.245,0.069,1.0
-0.448,-0.336,0.316,1.0
-0.032,-0.560,0.061,1.0
-0.195,0.225,-0.019,0.0
-0.095,-0.257,0.643,1.0
0.518,-0.251,0.180,1.0
-0.170,0.337,0.018,1.0
0.268,-0.001,0.205,1.0
0.530,-0.238,0.205,1.0
0.518,-0.251,0.180,1.0
-0.500,0.004,0.427,1.0
-0.500,0.004,0.427,1.0
0.268,-0.001,0.205,1.0
-0.294,0.053,0.312,1.0
-0.257,-0.550,0.180,1.0
-0.220,-0.119,0.637,1.0
-0.257,-0.550,0.180,1.0
0.311,-0.351,0.462,1.0
0.530,-0.238,0.205,1.0
-0.407,0.052,0.293,1.0
0.449,-0.382,0.205,1.0
-0.557,-0.007,0.174,1.0
0.449,-0.382,0.205,1.0
0.449,-0.382,0.205,1.0
-0.282,0.011,0.212,1.0
-0.244,-0.182,0.618,1.0
-0.425,-0.218,0.011,1.0
-0.207,-0.107,0.575,1.0
0.081,-0.220,0.643,1.0
0.101,-0.343,0.138,1.0
0.183,-0.141,0.652,1.0
0.432,0.024,0.179,1.0
-0.557,-0.007,0.174,1.0
-0.407,0.052,0.293,1.0
-0.289,0.030,0.319,1.0
-0.589,-0.132,0.180,0.0
-0.245,-0.001,0.636,1.0
-0.026,-0.163,0.461,1.0
-0.557,0.005,0.218,1.0
-0.095,-0.257,0.643,1.0
-0.226,-0.119,0.637,1.0
-0.026,-0.163,0.461,1.0
0.081,-0.220,0.643,1.0
0.093,-0.482,-0.032,1.0
0.093,-0.482,-0.032,1.0
0.301,-0.103,-0.041,1.0
0.415,-0.404,0.315,1.0
-0.032,-0.500,-0.032,1.0
-0.032,-0.500,-0.032,1.0
-0.469,-0.044,-0.032,0.0
0.162,-0.407,-0.042,1.0
-0.469,-0.044,-0.032,0.0
0.428,-0.330,0.007,1.0
0.030,-0.432,0.587,0.0
0.030,-0.432,0.587,0.0
0.218,-0.576,0.131,1.0
-0.356,0.262,0.021,0.0
-0.548,-0.260,0.271,0.0
-0.270,-0.095,0.318,1.0
-0.548,-0.260,0.271,0.0
-0.379,-0.198,0.539,1.0
-0.332,-0.195,0.581,1.0
0.518,-0.152,0.379,1.0
-0.344,-0.044,-0.032,1.0
0.193,-0.276,-0.038,1.0
-0.344,-0.044,-0.032,1.0
-0.025,-0.376,-0.019,1.0
-0.025,-0.376,-0.019,1.0
0.389,-0.415,0.028,1.0
-0.332,-0.195,0.581,1.0
-0.379,-0.198,0.539,1.0
0.518,-0.152,0.379,1.0
0.437,-0.305,0.022,1.0
-0.441,0.058,0.524,1.0
-0.513,0.100,0.199,1.0
0.343,0.004,0.420,1.0
0.437,-0.305,0.022,1.0
0.353,-0.077,0.619,0.0
0.073,-0.075,0.558,1.0
0.292,-0.151,0.110,1.0
-0.387,-0.041,0.480,1.0
-0.294,-0.482,0.355,1.0
-0.282,-0.419,0.381,1.0
-0.232,-0.244,0.056,1.0
-0.268,-0.304,0.556,1.0
-0.232,-0.070,0.305,1.0
-0.182,-0.144,0.575,1.0
-0.084,-0.479,0.004,1.0
0.081,-0.482,0.005,1.0
0.030,-0.170,0.668,1.0
0.059,-0.080,0.670,1.0
0.131,-0.482,0.005,1.0
0.284,-0.241,0.146,1.0
0.341,-0.089,0.353,1.0
0.456,-0.388,0.162,1.0
-0.546,-0.110,0.083,1.0
0.018,-0.494,-0.019,1.0
-0.032,-0.369,0.606,1.0
0.081,-0.482,-0.019,1.0
-0.032,-0.369,0.606,1.0
0.168,-0.195,0.256,0.0
0.505,-0.232,0.355,1.0
-0.326,-0.025,0.382,1.0
0.276,-0.059,0.070,1.0
-0.546,-0.110,0.083,1.0
-0.281,0.082,0.182,1.0
-0.232,-0.132,0.193,0.0
-0.173,-0.350,-0.030,1.0
0.105,-0.482,-0.019,1.0
0.105,-0.482,-0.019,1.0
0.316,-0.520,0.254,1.0
0.231,0.005,0.568,1.0
-0.355,-0.035,0.386,1.0
-0.238,-0.232,-0.022,1.0
0.030,-0.620,0.118,1.0
0.018,-0.494,-0.019,1.0
0.231,0.005,0.568,1.0
-0.232,-0.119,0.549,1.0
-0.232,-0.570,0.105,1.0
-0.095,-0.032,0.505,1.0
0.030,-0.620,0.118,1.0
0.118,-0.469,0.005,1.0
0.218,-0.570,0.105,1.0
0.118,-0.469,0.005,1.0
0.281,-0.519,0.068,1.0
0.180,-0.276,-0.025,1.0
-0.503,0.077,0.302,1.0
-0.132,-0.170,0.355,1.0
0.183,-0.392,0.578,1.0
0.171,-0.059,0.327,1.0
0.493,0.018,0.462,1.0
0.088,-0.596,0.316,1.0
-0.190,-0.015,0.518,1.0
0.088,-0.596,0.316,1.0
0.337,0.004,0.153,1.0
0.005,-0.620,0.118,1.0
0.341,0.025,0.404,1.0
-0.286,-0.121,0.094,1.0
0.005,-0.620,0.118,1.0
-0.290,0.045,0.570,1.0
0.299,-0.019,-0.013,1.0
0.261,-0.205,0.095,1.0
-0.229,-0.329,0.590,1.0
0.002,-0.605,0.327,1.0
0.018,-0.395,0.568,1.0
0.002,-0.605,0.327,1.0
-0.539,-0.133,0.266,1.0
-0.121,-0.177,0.675,1.0
0.018,-0.395,0.568,1.0
-0.146,-0.077,0.675,1.0
-0.096,-0.177,0.675,1.0
0.065,-0.047,0.582,1.0
-0.445,-0.332,0.331,1.0
-0.442,-0.342,0.297,1.0
-0.478,-0.189,-0.007,1.0
-0.195,-0.132,0.643,1.0
-0.478,-0.189,-0.007,1.0
-0.019,-0.570,0.068,1.0
0.574,-0.032,0.193,1.0
0.530,-0.238,0.180,1.0
-0.163,0.312,-0.019,1.0
-0.195,-0.132,0.643,1.0
-0.195,-0.132,0.643,1.0
-0.032,-0.369,0.581,1.0
0.530,-0.238,0.180,1.0
0.574,-0.032,0.193,1.0
-0.257,-0.550,0.180,1.0
-0.220,-0.119,0.637,1.0
0.018,-0.482,0.493,1.0
-0.257,-0.550,0.180,1.0
-0.323,-0.249,0.550,1.0
-0.419,0.049,0.305,1.0
-0.084,-0.489,0.431,1.0
-0.032,-0.369,0.581,1.0
-0.150,0.318,0.030,1.0
-0.557,0.005,0.193,1.0
0.089,-0.204,0.646,1.0
-0.182,-0.244,0.618,1.0
-0.589,-0.082,0.193,1.0
-0.438,-0.225,0.023,1.0
-0.182,-0.032,0.555,1.0
0.018,-0.482,0.493,1.0
0.190,-0.111,0.646,1.0
0.268,0.043,0.205,1.0
-0.235,0.331,-0.043,0.0
-0.557,0.005,0.193,1.0
-0.419,0.049,0.305,1.0
-0.244,-0.032,0.081,1.0
-0.201,0.018,0.606,1.0
-0.557,0.018,0.218,1.0
-0.393,0.044,0.428,1.0
-0.220,0.018,0.587,1.0
-0.582,-0.138,0.162,1.0
-0.532,-0.044,0.030,1.0
0.093,-0.482,-0.032,1.0
0.093,-0.482,-0.032,1.0
0.131,-0.019,0.468,1.0
-0.558,-0.127,0.297,1.0
-0.084,-0.492,-0.034,1.0
-0.229,-0.238,-0.034,1.0
-0.229,-0.238,-0.034,1.0
0.574,-0.057,0.168,1.0
0.415,-0.404,0.315,1.0
0.248,0.009,0.066,1.0
0.256,-0.270,0.618,0.0
-0.074,-0.501,0.518,0.0
0.390,-0.429,0.315,1.0
0.202,-0.586,0.121,1.0
-0.244,-0.582,0.155,0.0
0.075,-0.583,0.254,1.0
0.361,-0.413,0.050,1.0
0.256,-0.270,0.618,0.0
-0.482,-0.070,-0.019,1.0
0.093,-0.507,-0.007,1.0
0.093,-0.507,-0.007,1.0
0.240,-0.204,0.159,0.0
0.514,-0.067,0.009,1.0
0.581,-0.044,0.218,1.0
0.018,-0.500,-0.032,1.0
0.312,-0.496,0.325,1.0
-0.532,0.030,0.030,1.0
-0.519,0.131,0.168,0.0
-0.344,0.068,-0.019,0.0
0.018,-0.500,-0.032,1.0
-0.344,0.068,-0.019,0.0
0.193,-0.276,-0.038,1.0
-0.291,-0.035,0.627,1.0
0.331,0.018,-0.019,1.0
-0.244,-0.582,0.155,0.0
-0.332,0.118,0.143,1.0
-0.457,-0.089,0.471,1.0
0.030,-0.144,0.368,1.0
0.030,-0.144,0.368,1.0
0.531,0.119,0.254,0.0
-0.538,-0.144,-0.019,0.0
0.562,-0.179,0.317,0.0
0.574,-0.057,0.168,1.0
0.075,-0.583,0.254,1.0
0.361,-0.413,0.050,1.0
-0.115,-0.558,0.353,1.0
0.437,-0.331,0.022,1.0
-0.382,-0.244,0.505,1.0
0.296,-0.279,0.571,1.0
0.437,-0.331,0.022,1.0
0.296,-0.279,0.571,1.0
0.089,-0.229,0.646,1.0
-0.377,-0.129,0.562,1.0
-0.111,-0.102,0.601,1.0
-0.577,-0.071,0.260,1.0
-0.475,-0.244,0.018,1.0
-0.445,0.071,0.331,0.0
-0.445,0.168,0.056,1.0
-0.379,-0.478,0.159,1.0
-0.282,-0.469,0.381,1.0
-0.294,-0.419,0.368,1.0
-0.220,-0.144,0.318,1.0
