# x,y,z,is_reachable
-0.070,-0.588,0.225,1.0
-0.070,-0.588,0.225,1.0
0.030,-0.588,0.225,1.0
0.030,-0.588,0.225,1.0
-0.235,0.159,0.234,0.0
-0.019,-0.588,0.225,1.0
0.056,-0.588,0.224,1.0
0.056,-0.588,0.224,1.0
0.118,-0.588,0.237,1.0
0.528,-0.086,0.066,1.0
-0.257,-0.463,0.400,1.0
-0.374,-0.455,0.220,1.0
-0.128,-0.486,0.431,1.0
-0.374,-0.455,0.220,1.0
-0.329,-0.428,0.159,1.0
-0.257,-0.282,0.493,1.0
0.131,-0.294,0.343,1.0
0.210,-0.296,0.254,1.0
0.143,-0.207,0.393,1.0
0.445,-0.278,0.264,1.0
0.256,-0.226,0.299,1.0
-0.210,0.159,0.183,0.0
-0.182,-0.288,0.558,1.0
-0.207,-0.232,0.343,1.0
-0.119,-0.532,0.155,1.0
-0.119,0.262,0.186,1.0
0.468,0.068,0.493,1.0
0.225,0.029,0.668,1.0
-0.195,-0.294,0.293,1.0
-0.228,-0.459,0.264,1.0
0.018,-0.544,0.180,1.0
0.249,-0.388,0.050,1.0
-0.131,0.062,0.701,0.0
0.237,0.029,0.668,0.0
0.227,0.065,-0.017,1.0
0.081,-0.482,0.056,1.0
0.093,-0.257,0.393,1.0
-0.235,0.159,0.234,0.0
0.247,0.129,-0.009,0.0
-0.006,-0.373,0.157,1.0
-0.018,-0.540,0.263,1.0
0.081,-0.482,0.056,1.0
0.118,-0.482,0.343,1.0
0.081,-0.307,0.355,1.0
0.071,-0.135,0.502,1.0
0.264,-0.459,0.314,1.0
-0.453,-0.208,0.257,1.0
-0.223,-0.350,0.044,1.0
-0.170,-0.469,0.281,1.0
-0.084,-0.479,0.054,1.0
-0.018,-0.540,0.263,1.0
-0.082,-0.332,0.218,1.0
0.018,-0.544,0.180,1.0
0.143,-0.532,0.168,1.0
-0.107,0.205,0.105,0.0
-0.170,-0.088,0.521,1.0
-0.453,-0.208,0.257,1.0
-0.223,-0.350,0.044,1.0
-0.207,-0.282,0.293,1.0
-0.084,-0.479,0.054,1.0
-0.119,-0.532,0.231,1.0
0.093,-0.457,0.393,1.0
0.218,-0.332,0.518,1.0
0.327,-0.093,0.157,1.0
0.518,-0.107,0.268,1.0
0.012,0.240,0.180,0.0
0.012,0.228,0.168,0.0
0.214,0.177,-0.011,1.0
0.056,0.200,-0.029,0.0
0.056,0.200,-0.029,0.0
-0.201,-0.469,0.199,1.0
0.005,-0.544,0.143,1.0
0.406,-0.121,0.425,1.0
-0.007,0.193,0.218,0.0
-0.369,-0.344,0.305,1.0
0.104,0.044,0.675,0.0
-0.304,-0.268,0.457,1.0
-0.329,-0.229,0.515,1.0
0.071,-0.135,0.502,1.0
0.325,-0.419,0.149,1.0
0.391,-0.089,0.303,1.0
0.409,-0.324,0.073,1.0
0.133,-0.328,0.519,1.0
0.281,-0.369,0.056,1.0
0.445,-0.278,0.314,1.0
0.056,0.287,0.131,0.0
0.068,0.237,0.021,1.0
0.068,0.237,0.021,0.0
-0.082,-0.482,0.343,1.0
0.005,-0.544,0.143,1.0
0.074,-0.264,0.400,1.0
0.505,-0.107,0.305,1.0
-0.281,0.112,0.650,0.0
0.204,0.082,0.663,1.0
0.242,0.162,-0.013,1.0
-0.282,-0.369,0.381,1.0
0.118,-0.307,0.343,1.0
0.231,-0.320,0.480,1.0
0.456,-0.119,0.056,1.0
0.355,-0.119,0.205,1.0
-0.007,0.193,0.168,0.0
-0.185,0.183,0.183,1.0
0.231,-0.320,0.518,1.0
0.234,-0.298,0.496,1.0
-0.454,-0.185,0.271,1.0
-0.102,-0.470,0.353,1.0
0.224,-0.447,0.324,1.0
0.231,-0.220,0.555,1.0
0.456,-0.119,0.056,1.0
-0.270,-0.369,0.393,1.0
0.074,-0.264,0.450,1.0
0.218,-0.282,0.518,1.0
0.331,-0.413,0.155,1.0
0.205,-0.244,0.555,1.0
-0.216,0.128,0.202,1.0
0.227,0.065,-0.029,0.0
0.005,0.249,-0.004,0.0
0.005,0.249,-0.004,0.0
-0.232,-0.407,0.056,1.0
-0.307,-0.369,0.355,1.0
-0.119,-0.532,0.155,1.0
-0.119,-0.532,0.231,1.0
0.256,-0.369,0.406,1.0
0.231,-0.270,0.518,1.0
0.370,-0.070,0.199,1.0
0.377,-0.093,0.107,1.0
-0.272,0.092,0.715,0.0
0.211,0.068,-0.019,0.0
0.074,0.212,0.009,0.0
0.074,0.212,0.009,1.0
-0.373,-0.298,0.329,1.0
-0.076,-0.188,0.436,1.0
0.068,-0.544,0.180,1.0
0.118,-0.482,0.343,1.0
0.218,-0.282,0.518,1.0
0.331,-0.413,0.155,1.0
0.155,-0.107,0.456,1.0
0.355,-0.119,0.205,1.0
-0.193,0.062,0.625,0.0
0.204,0.032,0.663,1.0
0.208,0.065,-0.017,0.0
-0.170,-0.344,0.081,1.0
-0.338,-0.238,0.524,1.0
-0.170,-0.482,0.231,1.0
-0.076,-0.188,0.436,1.0
0.193,-0.257,0.318,1.0
0.231,-0.220,0.331,1.0
0.480,-0.244,0.155,1.0
-0.095,-0.544,0.143,1.0
0.068,-0.544,0.180,1.0
0.093,-0.307,0.343,1.0
0.074,-0.138,0.486,1.0
0.325,-0.419,0.162,1.0
0.241,-0.281,0.201,1.0
-0.185,0.208,0.234,0.0
-0.255,-0.171,0.572,1.0
-0.523,-0.101,0.183,1.0
-0.282,-0.357,0.393,1.0
-0.107,-0.532,0.118,1.0
0.213,-0.508,0.183,1.0
0.074,-0.138,0.486,1.0
0.177,0.183,-0.042,0.0
-0.270,-0.070,0.268,1.0
-0.186,-0.293,0.304,1.0
0.131,-0.544,0.193,1.0
0.325,-0.419,0.162,1.0
0.480,-0.244,0.155,1.0
-0.232,0.143,0.218,1.0
-0.230,-0.274,0.547,1.0
-0.504,-0.101,0.208,1.0
-0.232,-0.195,0.524,1.0
-0.095,-0.544,0.143,1.0
0.480,-0.244,0.155,1.0
0.018,0.249,0.131,0.0
-0.210,0.134,0.208,0.0
-0.369,-0.294,0.343,1.0
-0.157,-0.482,0.268,1.0
0.218,-0.507,0.193,1.0
0.168,-0.088,0.436,1.0
0.355,-0.119,0.155,1.0
-0.124,0.093,0.620,0.0
-0.182,-0.457,0.318,1.0
-0.132,-0.457,0.368,1.0
0.318,-0.107,0.168,1.0
-0.007,0.180,0.205,0.0
0.112,0.406,-0.048,0.0
-0.145,0.077,0.627,0.0
-0.185,0.159,0.183,1.0
0.056,0.200,0.021,0.0
0.056,0.200,0.021,0.0
-0.459,-0.147,0.289,1.0
0.155,-0.294,0.318,1.0
0.231,-0.220,0.555,1.0
0.268,-0.182,0.268,1.0
0.480,-0.244,0.180,1.0
-0.007,0.180,0.155,0.0
0.068,0.200,-0.004,0.0
0.068,0.200,-0.004,0.0
-0.454,-0.101,0.258,1.0
-0.116,-0.429,0.430,1.0
0.193,-0.482,0.068,1.0
0.362,-0.432,0.199,1.0
0.406,-0.338,0.224,1.0
0.258,-0.198,0.314,1.0
0.430,-0.207,0.381,1.0
0.480,-0.244,0.180,1.0
-0.216,0.128,0.202,0.0
-0.232,-0.282,0.268,1.0
0.143,-0.532,0.168,1.0
0.133,-0.378,0.469,1.0
0.101,-0.318,0.531,1.0
0.237,-0.419,0.059,1.0
0.480,-0.244,0.180,1.0
-0.408,-0.302,0.314,1.0
-0.231,0.100,0.675,0.0
0.154,0.019,0.625,0.0
-0.268,-0.304,0.457,1.0
-0.185,-0.473,0.259,1.0
-0.244,-0.432,0.355,1.0
0.081,-0.544,0.143,1.0
0.325,-0.419,0.162,1.0
-0.155,0.050,0.675,1.0
0.190,0.084,-0.017,0.0
-0.445,-0.294,0.193,1.0
-0.294,-0.369,0.368,1.0
0.081,-0.544,0.143,1.0
0.068,-0.357,0.218,1.0
0.175,-0.265,0.329,1.0
0.293,-0.182,0.293,1.0
0.480,-0.244,0.205,1.0
0.192,0.019,0.613,0.0
0.118,0.256,0.002,0.0
0.118,0.256,0.002,0.0
-0.457,-0.257,0.293,1.0
-0.232,-0.457,0.368,1.0
-0.182,-0.232,0.368,1.0
-0.116,-0.429,0.430,1.0
0.005,-0.523,0.086,1.0
0.193,-0.357,0.468,1.0
0.071,-0.135,0.502,1.0
0.325,-0.419,0.149,1.0
0.355,-0.119,0.155,1.0
-0.210,0.134,0.208,1.0
0.183,0.177,-0.004,0.0
-0.357,-0.288,0.050,1.0
-0.357,-0.382,0.268,1.0
0.005,-0.523,0.086,1.0
0.071,-0.135,0.502,1.0
0.231,-0.157,0.305,1.0
0.443,-0.195,0.056,1.0
-0.180,0.162,0.650,0.0
0.409,-0.386,0.272,1.0
-0.357,-0.288,0.050,1.0
-0.457,-0.257,0.193,1.0
-0.207,-0.257,0.543,1.0
-0.119,-0.532,0.155,1.0
-0.057,-0.482,0.368,1.0
0.131,-0.482,0.056,1.0
0.118,-0.307,0.343,1.0
0.268,-0.232,0.168,1.0
0.518,0.068,0.493,0.0
-0.281,0.062,0.701,0.0
-0.216,0.128,0.202,0.0
0.272,-0.261,0.272,1.0
-0.207,-0.382,0.443,1.0
0.012,-0.314,0.349,1.0
0.155,-0.294,0.318,1.0
0.418,-0.121,0.412,1.0
0.480,-0.244,0.205,1.0
0.450,-0.019,0.062,1.0
-0.216,0.128,0.202,0.0
0.192,0.019,0.613,0.0
-0.401,-0.095,0.081,1.0
-0.452,-0.272,0.115,1.0
-0.454,-0.235,0.271,1.0
-0.461,-0.198,0.271,1.0
-0.182,-0.282,0.318,1.0
-0.186,-0.243,0.354,1.0
0.193,-0.382,0.443,1.0
0.368,-0.107,0.518,1.0
0.389,0.008,0.108,1.0
0.214,0.177,-0.011,1.0
0.056,0.249,-0.029,0.0
0.056,0.249,-0.029,0.0
0.291,-0.380,0.030,1.0
-0.526,-0.088,0.162,1.0
-0.326,-0.339,0.424,1.0
0.005,-0.369,0.155,1.0
0.224,-0.496,0.274,1.0
0.312,-0.432,0.162,1.0
0.168,-0.088,0.436,1.0
-0.145,0.077,0.695,0.0
0.165,0.171,-0.004,1.0
0.291,-0.380,0.030,1.0
0.316,-0.438,0.316,1.0
-0.441,-0.192,0.302,1.0
-0.335,-0.422,0.177,1.0
0.005,-0.369,0.155,1.0
0.131,-0.482,0.056,1.0
0.180,-0.270,0.318,1.0
0.062,0.406,0.003,0.0
-0.180,0.112,0.701,0.0
-0.270,-0.226,0.558,1.0
0.258,0.140,-0.011,1.0
-0.282,-0.369,0.430,1.0
-0.253,-0.433,0.264,1.0
-0.019,-0.544,0.143,1.0
-0.019,-0.307,0.355,1.0
0.075,-0.445,0.400,1.0
0.231,-0.070,0.493,1.0
0.373,-0.053,0.209,1.0
0.468,-0.232,0.093,1.0
-0.107,0.180,0.155,0.0
-0.210,0.208,0.171,1.0
0.239,0.146,-0.004,0.0
0.423,-0.332,0.331,1.0
0.012,0.355,0.003,0.0
0.190,0.190,-0.011,1.0
-0.445,-0.294,0.193,1.0
-0.264,-0.388,0.050,1.0
-0.253,-0.483,0.264,1.0
-0.132,0.187,0.211,0.0
-0.066,-0.429,0.430,1.0
0.121,-0.446,0.419,1.0
0.131,-0.070,0.581,1.0
-0.182,-0.264,0.571,1.0
0.424,-0.330,0.329,1.0
-0.496,-0.239,0.118,1.0
-0.457,-0.157,0.293,1.0
-0.207,-0.519,0.180,1.0
0.012,-0.314,0.349,1.0
0.224,-0.488,0.105,1.0
0.180,-0.469,0.305,1.0
0.325,-0.419,0.162,1.0
0.012,0.355,-0.048,0.0
-0.207,-0.469,0.256,1.0
-0.026,-0.264,0.400,1.0
-0.019,-0.307,0.355,1.0
0.018,-0.544,0.281,1.0
0.231,-0.070,0.493,1.0
0.062,0.406,-0.098,0.0
-0.180,0.112,0.601,0.0
-0.185,0.196,0.171,0.0
0.227,0.065,-0.017,1.0
-0.144,-0.332,0.131,1.0
-0.132,0.180,0.218,0.0
0.088,-0.470,0.353,1.0
0.312,-0.432,0.149,1.0
-0.138,0.070,0.639,0.0
-0.432,-0.007,0.068,1.0
-0.072,-0.483,0.339,1.0
0.311,-0.082,0.178,1.0
-0.107,0.293,0.218,0.0
-0.180,0.062,0.701,0.0
0.218,0.055,0.658,1.0
0.177,0.084,-0.042,0.0
0.423,-0.332,0.331,1.0
-0.441,-0.192,0.302,1.0
-0.019,-0.369,0.155,1.0
0.331,-0.395,0.105,1.0
0.297,-0.146,0.531,1.0
-0.070,0.193,0.105,0.0
-0.264,-0.388,0.050,1.0
-0.294,-0.419,0.318,1.0
-0.066,-0.429,0.430,1.0
0.105,-0.082,0.593,1.0
0.256,-0.445,0.093,1.0
0.355,-0.344,0.081,1.0
0.469,-0.253,0.264,1.0
-0.091,-0.154,0.493,1.0
0.177,0.183,-0.017,1.0
0.422,-0.298,0.372,1.0
-0.264,-0.388,0.050,1.0
-0.132,-0.544,0.231,1.0
-0.032,-0.270,0.331,1.0
0.331,-0.413,0.155,1.0
0.348,-0.117,0.531,1.0
0.018,0.231,0.193,0.0
0.062,0.355,-0.098,0.0
-0.091,-0.154,0.493,1.0
0.329,-0.438,0.316,1.0
-0.448,-0.258,0.172,1.0
-0.195,-0.469,0.243,1.0
0.093,-0.407,0.443,1.0
0.143,-0.482,0.368,1.0
0.331,-0.413,0.155,1.0
-0.195,0.205,0.168,1.0
-0.107,-0.139,0.496,1.0
0.353,-0.423,0.142,1.0
-0.385,-0.372,0.228,1.0
-0.457,-0.207,0.243,1.0
-0.278,-0.459,0.264,1.0
-0.294,-0.344,0.406,1.0
-0.182,-0.220,0.381,1.0
-0.132,-0.544,0.231,1.0
0.093,-0.532,0.118,1.0
0.094,-0.373,0.207,1.0
0.343,-0.282,0.393,1.0
0.268,-0.182,0.318,1.0
0.293,-0.082,0.281,1.0
0.518,-0.207,0.143,1.0
-0.143,0.050,0.601,0.0
-0.234,0.122,0.198,1.0
0.167,0.019,0.613,0.0
-0.091,-0.154,0.493,1.0
-0.307,-0.407,0.318,1.0
-0.119,-0.544,0.143,1.0
-0.207,-0.469,0.218,1.0
-0.019,-0.369,0.155,1.0
0.180,-0.070,0.543,1.0
0.249,-0.213,0.530,1.0
-0.119,0.180,0.218,1.0
0.112,0.355,-0.098,0.0
0.154,0.032,0.613,0.0
-0.445,-0.264,0.100,1.0
-0.385,-0.372,0.228,1.0
-0.329,-0.428,0.159,1.0
-0.119,-0.395,0.081,1.0
0.032,-0.540,0.263,1.0
0.009,-0.247,0.390,1.0
0.105,-0.544,0.293,1.0
0.281,-0.344,0.406,1.0
0.249,-0.213,0.530,1.0
0.291,-0.231,0.201,1.0
-0.107,0.193,0.168,0.0
-0.139,0.174,0.168,1.0
0.030,0.275,0.131,0.0
-0.143,0.062,0.663,0.0
-0.185,0.234,0.221,0.0
0.167,0.019,0.613,0.0
-0.470,-0.127,0.248,1.0
-0.329,-0.428,0.159,1.0
0.187,-0.469,0.059,1.0
0.393,-0.220,0.056,1.0
0.318,-0.082,0.318,1.0
0.368,-0.107,0.118,1.0
0.420,-0.070,0.199,1.0
-0.091,-0.154,0.493,1.0
0.056,0.299,0.021,0.0
0.056,0.299,0.021,0.0
-0.433,-0.291,0.173,1.0
-0.264,-0.388,0.050,1.0
-0.170,-0.294,0.305,1.0
-0.244,-0.494,0.155,1.0
-0.170,-0.482,0.231,1.0
-0.119,0.174,0.211,0.0
-0.114,-0.395,0.449,1.0
-0.034,-0.489,0.406,1.0
0.105,-0.544,0.143,1.0
0.218,-0.282,0.081,1.0
0.234,-0.291,0.246,1.0
-0.007,0.293,0.218,0.0
-0.107,0.180,0.180,0.0
-0.131,0.100,0.625,0.0
0.154,0.032,0.713,0.0
0.167,0.123,0.024,1.0
-0.482,-0.107,0.068,1.0
-0.451,-0.226,0.312,1.0
-0.264,-0.388,0.050,1.0
-0.119,-0.544,0.143,1.0
-0.207,-0.457,0.293,1.0
-0.257,-0.419,0.355,1.0
0.032,-0.540,0.263,1.0
0.143,-0.544,0.180,1.0
0.249,-0.388,0.050,1.0
0.305,-0.344,0.381,1.0
0.519,-0.122,0.183,1.0
-0.207,-0.357,0.468,1.0
