# x,y,z,is_reachable
-0.432,0.074,0.268,1.0
-0.026,-0.164,0.499,1.0
0.024,-0.213,0.499,1.0
0.074,-0.213,0.450,1.0
0.499,-0.019,0.030,1.0
0.211,-0.326,0.561,1.0
-0.432,-0.369,0.281,1.0
-0.220,-0.557,0.193,1.0
0.293,-0.445,0.043,1.0
-0.332,-0.469,0.105,1.0
-0.432,0.074,0.268,1.0
0.024,-0.164,0.499,1.0
0.423,-0.003,0.159,1.0
0.024,-0.189,0.424,1.0
0.524,-0.019,0.056,1.0
0.211,-0.476,0.412,1.0
-0.301,-0.451,0.049,1.0
-0.226,-0.476,0.412,1.0
-0.301,-0.451,0.049,1.0
-0.220,-0.557,0.193,1.0
-0.328,-0.471,0.096,1.0
-0.432,-0.369,0.305,1.0
-0.376,-0.189,0.511,1.0
-0.432,0.068,0.368,1.0
0.024,-0.213,0.450,1.0
-0.500,-0.195,0.018,1.0
0.537,-0.201,0.186,1.0
0.524,-0.019,0.056,1.0
0.537,-0.201,0.186,1.0
-0.432,0.068,0.368,1.0
-0.182,-0.582,0.168,1.0
-0.076,-0.213,0.450,1.0
0.168,-0.582,0.168,1.0
-0.110,-0.502,-0.035,0.0
-0.110,-0.502,-0.035,0.0
-0.301,-0.451,0.049,1.0
-0.301,-0.451,0.049,1.0
-0.314,-0.463,0.074,1.0
-0.475,0.124,0.312,0.0
-0.451,-0.351,0.199,1.0
-0.195,-0.132,0.606,1.0
-0.026,-0.213,0.499,1.0
0.373,0.047,0.209,1.0
0.423,-0.003,0.209,1.0
-0.500,-0.195,0.018,1.0
0.291,0.026,0.188,1.0
0.262,0.112,0.274,0.0
-0.195,0.205,0.205,1.0
0.180,-0.570,0.168,1.0
-0.257,-0.007,0.131,1.0
-0.314,-0.463,0.074,1.0
0.180,-0.570,0.168,1.0
0.281,0.305,0.005,0.0
-0.528,0.104,0.303,1.0
-0.207,-0.570,0.168,1.0
0.180,-0.570,0.168,1.0
-0.570,-0.132,0.205,1.0
-0.032,-0.532,0.093,1.0
-0.007,-0.232,0.618,1.0
-0.026,-0.164,0.499,1.0
0.536,-0.044,0.081,1.0
-0.220,-0.557,0.193,1.0
-0.232,0.331,0.093,0.0
-0.044,-0.220,0.606,1.0
0.024,-0.164,0.499,1.0
0.093,-0.019,0.368,0.0
0.093,-0.019,0.368,0.0
0.188,0.246,0.088,1.0
0.068,0.293,-0.044,1.0
0.536,-0.044,0.081,1.0
0.555,-0.007,0.193,1.0
-0.107,0.218,-0.044,0.0
-0.207,-0.570,0.168,1.0
-0.082,0.205,0.180,0.0
-0.026,-0.213,0.499,1.0
0.074,-0.213,0.450,1.0
-0.401,-0.500,0.174,0.0
-0.401,-0.500,0.174,0.0
-0.220,-0.557,0.193,1.0
0.163,0.253,0.101,0.0
0.193,0.305,-0.007,1.0
-0.182,0.331,0.093,0.0
0.287,-0.026,0.224,1.0
0.423,-0.003,0.209,1.0
0.412,0.062,0.511,1.0
0.193,0.236,0.105,1.0
0.499,-0.019,0.030,1.0
-0.257,0.118,-0.095,0.0
-0.082,-0.207,0.618,1.0
-0.232,0.155,0.011,0.0
-0.232,0.155,0.011,1.0
0.205,0.005,-0.007,0.0
-0.095,0.180,0.118,0.0
-0.076,-0.213,0.450,1.0
0.024,-0.213,0.499,1.0
-0.307,0.218,-0.070,0.0
-0.207,0.218,-0.044,1.0
-0.244,0.018,0.193,1.0
0.518,-0.107,0.355,1.0
-0.107,-0.232,0.618,1.0
0.373,-0.003,0.209,1.0
0.493,-0.220,0.168,1.0
0.423,-0.003,0.159,1.0
-0.182,0.068,0.005,0.0
0.524,-0.019,0.056,1.0
0.193,0.305,-0.007,1.0
-0.095,0.243,-0.032,1.0
-0.350,-0.213,0.536,1.0
-0.182,0.331,-0.007,1.0
-0.519,0.056,0.168,1.0
-0.195,-0.132,0.606,1.0
0.268,-0.082,0.505,1.0
-0.019,0.081,0.693,0.0
-0.244,-0.007,0.193,0.0
0.018,-0.407,-0.044,1.0
-0.376,-0.189,0.511,1.0
-0.519,0.056,0.168,1.0
-0.182,-0.132,-0.007,0.0
0.211,0.012,-0.013,0.0
0.205,0.293,-0.019,1.0
-0.432,0.024,0.268,1.0
-0.195,-0.132,0.606,1.0
0.214,0.215,0.228,0.0
0.068,0.393,-0.044,0.0
-0.432,0.024,0.268,1.0
-0.157,-0.457,0.393,1.0
-0.070,-0.220,0.606,1.0
0.293,-0.019,0.218,1.0
0.493,-0.220,0.218,1.0
-0.076,-0.025,0.411,0.0
-0.220,-0.620,0.305,0.0
-0.571,-0.098,0.158,1.0
-0.195,-0.570,0.168,1.0
0.243,0.005,-0.032,0.0
-0.431,0.066,0.411,1.0
-0.431,0.066,0.411,1.0
0.518,-0.007,0.355,1.0
-0.294,-0.445,0.205,1.0
-0.070,-0.220,0.606,1.0
-0.007,-0.357,0.543,1.0
-0.220,0.281,0.056,1.0
0.131,0.081,0.655,0.0
-0.232,0.143,0.005,1.0
0.518,-0.115,0.353,1.0
0.297,0.309,-0.075,0.0
-0.107,0.193,-0.007,0.0
-0.338,-0.201,0.549,1.0
-0.294,-0.445,0.205,1.0
0.393,0.018,0.443,1.0
0.493,-0.220,0.168,1.0
-0.494,0.218,0.024,0.0
-0.195,0.205,0.205,1.0
0.555,-0.007,0.193,1.0
-0.469,0.015,0.411,1.0
-0.182,0.218,0.005,1.0
-0.469,0.015,0.411,1.0
-0.182,0.231,0.005,0.0
-0.082,-0.207,0.618,1.0
0.293,-0.019,0.218,1.0
0.511,0.005,0.030,1.0
-0.290,0.108,-0.053,0.0
-0.107,0.193,0.005,1.0
-0.290,0.033,0.289,1.0
-0.207,-0.132,0.606,0.0
0.557,0.058,0.108,1.0
0.193,-0.044,-0.032,0.0
-0.182,0.281,0.180,0.0
0.213,0.316,0.126,0.0
-0.257,-0.519,0.168,1.0
-0.207,-0.132,0.606,1.0
-0.007,-0.457,0.443,1.0
0.024,-0.213,0.450,1.0
-0.395,0.018,0.593,0.0
-0.232,0.118,0.005,0.0
0.518,-0.015,0.353,1.0
-0.381,0.066,0.411,1.0
-0.244,-0.032,0.193,0.0
0.188,0.246,0.101,0.0
0.018,-0.307,-0.044,0.0
-0.381,0.066,0.411,1.0
0.205,0.293,-0.032,1.0
-0.001,0.005,0.680,1.0
0.118,0.393,0.005,0.0
-0.610,0.123,0.073,0.0
-0.257,-0.519,0.168,1.0
-0.294,-0.220,0.530,1.0
0.305,-0.320,0.406,1.0
0.168,-0.232,0.368,1.0
-0.476,0.005,0.068,1.0
0.555,-0.007,0.218,1.0
-0.220,-0.570,0.168,1.0
0.188,0.316,0.075,1.0
-0.026,0.005,0.618,1.0
0.312,-0.238,0.561,1.0
-0.257,-0.007,0.118,0.0
0.343,-0.107,0.068,1.0
0.493,-0.220,0.218,1.0
0.581,0.005,0.205,1.0
0.555,-0.007,0.168,1.0
0.305,0.318,-0.044,0.0
0.287,-0.088,0.549,1.0
-0.144,-0.344,0.505,1.0
-0.007,-0.532,0.293,1.0
0.193,-0.207,0.368,1.0
0.268,-0.157,0.093,1.0
-0.407,-0.001,0.293,1.0
0.524,-0.019,0.056,1.0
-0.207,0.068,0.005,1.0
0.243,-0.095,-0.032,0.0
-0.032,-0.407,-0.044,1.0
0.519,-0.098,0.351,1.0
-0.095,-0.170,0.456,1.0
0.193,-0.457,0.343,1.0
0.293,-0.157,0.068,1.0
-0.419,-0.270,0.581,0.0
0.155,-0.344,0.680,0.0
0.005,0.056,0.668,1.0
-0.307,0.068,-0.044,1.0
-0.007,0.005,0.668,1.0
0.281,0.305,0.005,0.0
-0.001,0.005,0.680,1.0
-0.282,-0.032,0.193,1.0
-0.095,-0.170,0.456,1.0
-0.270,0.005,0.005,0.0
0.211,0.024,0.699,0.0
-0.220,0.205,0.205,0.0
0.289,-0.072,-0.041,0.0
0.293,0.331,-0.032,0.0
0.099,0.335,-0.075,0.0
-0.232,-0.532,0.218,1.0
-0.294,-0.445,0.205,1.0
-0.057,-0.457,0.393,1.0
-0.007,-0.357,0.543,1.0
0.268,-0.232,0.568,1.0
0.430,-0.344,0.205,1.0
-0.007,0.068,0.680,0.0
0.381,0.030,0.581,1.0
-0.082,-0.332,0.168,1.0
0.430,0.081,0.331,0.0
-0.019,0.056,0.668,1.0
0.005,0.056,0.668,1.0
-0.007,0.005,0.668,1.0
0.305,0.268,-0.044,0.0
-0.432,0.205,0.193,0.0
-0.144,0.293,0.018,1.0
-0.519,0.005,0.168,1.0
-0.007,-0.232,0.618,1.0
0.074,-0.189,0.612,1.0
0.281,-0.220,0.530,1.0
0.268,-0.232,0.568,1.0
0.430,-0.344,0.205,1.0
0.389,-0.017,0.183,1.0
0.305,-0.519,-0.019,0.0
-0.070,-0.070,0.305,0.0
-0.213,0.268,-0.029,0.0
0.474,-0.082,0.018,1.0
-0.207,0.093,-0.032,0.0
0.243,-0.095,-0.007,1.0
0.018,-0.357,-0.095,0.0
0.256,0.268,-0.095,0.0
-0.294,-0.445,0.155,1.0
-0.251,-0.013,0.162,0.0
-0.244,-0.494,0.205,1.0
-0.157,-0.232,0.593,1.0
-0.007,-0.532,0.293,1.0
0.024,-0.188,0.486,1.0
0.231,-0.270,0.281,1.0
0.430,-0.344,0.205,1.0
0.430,-0.294,0.155,1.0
0.570,0.033,0.289,1.0
-0.595,-0.244,0.281,0.0
-0.007,0.068,0.680,0.0
-0.307,-0.157,0.518,1.0
-0.032,-0.082,0.418,0.0
-0.220,0.205,0.231,0.0
0.211,0.149,-0.001,1.0
0.213,0.316,0.075,0.0
0.243,0.381,-0.032,0.0
-0.144,0.293,-0.032,0.0
-0.320,0.030,0.231,1.0
-0.207,-0.457,0.343,1.0
-0.095,-0.170,0.456,1.0
-0.232,-0.157,0.593,1.0
-0.044,-0.220,0.606,1.0
0.012,-0.363,0.299,1.0
0.024,-0.188,0.486,1.0
0.074,-0.164,0.499,1.0
0.180,0.005,0.706,0.0
-0.401,-0.500,0.174,0.0
-0.070,-0.044,0.406,0.0
-0.032,-0.082,0.418,0.0
-0.019,0.056,0.668,1.0
0.168,0.281,0.180,0.0
-0.570,-0.107,0.193,1.0
0.193,0.005,-0.032,0.0
0.205,0.268,-0.044,1.0
0.243,0.381,0.018,0.0
-0.418,-0.193,0.053,1.0
-0.135,0.289,0.033,1.0
-0.294,-0.445,0.155,1.0
-0.332,-0.332,0.368,1.0
-0.207,-0.082,0.543,1.0
-0.007,-0.457,0.443,1.0
-0.057,-0.207,0.618,1.0
0.056,-0.220,0.606,1.0
0.108,-0.378,0.183,1.0
0.118,-0.282,0.368,1.0
0.174,-0.126,0.612,1.0
0.293,0.068,0.218,1.0
-0.270,0.005,0.005,1.0
0.068,-0.007,0.368,0.0
0.493,0.093,0.393,0.0
0.068,-0.007,0.368,0.0
-0.595,-0.195,0.331,0.0
-0.019,-0.044,0.456,0.0
-0.082,-0.332,0.168,1.0
-0.213,0.318,-0.029,1.0
0.474,-0.082,0.018,1.0
0.461,-0.003,0.184,1.0
0.293,-0.044,-0.032,0.0
-0.157,0.218,-0.095,0.0
-0.519,0.005,0.168,1.0
-0.294,-0.445,0.155,1.0
-0.207,-0.207,0.368,1.0
-0.257,-0.207,0.693,0.0
-0.244,-0.494,0.205,1.0
-0.038,-0.363,0.299,1.0
-0.107,-0.457,0.443,1.0
0.068,-0.207,0.618,1.0
0.074,-0.213,0.499,1.0
0.318,-0.082,0.505,1.0
0.518,-0.007,0.143,1.0
0.518,-0.007,0.218,1.0
-0.407,-0.001,0.293,1.0
0.493,0.093,0.468,0.0
-0.382,0.093,0.593,0.0
-0.232,-0.007,0.068,1.0
-0.007,0.318,0.143,0.0
0.068,-0.007,0.418,0.0
0.068,-0.007,0.418,0.0
-0.544,-0.195,0.381,0.0
-0.401,-0.500,0.174,0.0
0.180,-0.095,0.105,0.0
-0.280,-0.012,0.303,1.0
0.205,-0.395,0.630,0.0
-0.082,-0.032,0.418,1.0
0.505,0.105,0.406,0.0
-0.232,0.193,0.243,0.0
-0.570,-0.107,0.168,1.0
0.549,0.012,0.186,1.0
0.005,-0.220,0.680,1.0
-0.157,0.168,-0.095,0.0
-0.032,-0.357,-0.095,0.0
