# x,y,z,is_reachable
-0.757,-0.757,-0.757,0.0
-0.757,-0.757,-0.657,0.0
-0.757,-0.757,-0.557,0.0
-0.757,-0.757,-0.457,0.0
-0.757,-0.757,-0.357,0.0
-0.757,-0.757,-0.257,0.0
-0.757,-0.757,-0.157,0.0
-0.757,-0.757,-0.057,0.0
-0.757,-0.757,0.043,0.0
-0.757,-0.757,0.143,0.0
-0.757,-0.757,0.243,0.0
-0.757,-0.757,0.343,0.0
-0.757,-0.757,0.443,0.0
-0.757,-0.757,0.543,0.0
-0.757,-0.757,0.643,0.0
-0.757,-0.757,0.743,0.0
-0.757,-0.657,-0.757,0.0
-0.757,-0.657,-0.657,0.0
-0.757,-0.657,-0.557,0.0
-0.757,-0.657,-0.457,0.0
-0.757,-0.657,-0.357,0.0
-0.757,-0.657,-0.257,0.0
-0.757,-0.657,-0.157,0.0
-0.757,-0.657,-0.057,0.0
-0.757,-0.657,0.043,0.0
-0.757,-0.657,0.143,0.0
-0.757,-0.657,0.243,0.0
-0.757,-0.657,0.343,0.0
-0.757,-0.657,0.443,0.0
-0.757,-0.657,0.543,0.0
-0.757,-0.657,0.643,0.0
-0.757,-0.657,0.743,0.0
-0.757,-0.557,-0.757,0.0
-0.757,-0.557,-0.657,0.0
-0.757,-0.557,-0.557,0.0
-0.757,-0.557,-0.457,0.0
-0.757,-0.557,-0.357,0.0
-0.757,-0.557,-0.257,0.0
-0.757,-0.557,-0.157,0.0
-0.757,-0.557,-0.057,0.0
-0.757,-0.557,0.043,0.0
-0.757,-0.557,0.143,0.0
-0.757,-0.557,0.243,0.0
-0.757,-0.557,0.343,0.0
-0.757,-0.557,0.443,0.0
-0.757,-0.557,0.543,0.0
-0.757,-0.557,0.643,0.0
-0.757,-0.557,0.743,0.0
-0.757,-0.457,-0.757,0.0
-0.757,-0.457,-0.657,0.0
-0.757,-0.457,-0.557,0.0
-0.757,-0.457,-0.457,0.0
-0.757,-0.457,-0.357,0.0
-0.757,-0.457,-0.257,0.0
-0.757,-0.457,-0.157,0.0
-0.757,-0.457,-0.057,0.0
-0.757,-0.457,0.043,0.0
-0.757,-0.457,0.143,0.0
-0.757,-0.457,0.243,0.0
-0.757,-0.457,0.343,0.0
-0.757,-0.457,0.443,0.0
-0.757,-0.457,0.543,0.0
-0.757,-0.457,0.643,0.0
-0.757,-0.457,0.743,0.0
-0.757,-0.357,-0.757,0.0
-0.757,-0.357,-0.657,0.0
