# x,y,z,is_reachable
-0.519,-0.170,0.231,1.0
-0.519,-0.019,0.256,1.0
-0.244,-0.244,0.081,1.0
-0.070,-0.395,0.030,1.0
-0.044,-0.270,0.606,1.0
0.056,-0.270,0.606,1.0
0.180,-0.519,0.256,1.0
0.155,-0.519,0.355,1.0
0.180,-0.170,0.606,1.0
0.231,-0.519,0.256,1.0
0.355,-0.195,0.505,1.0
-0.328,-0.135,-0.035,1.0
-0.469,-0.095,0.381,1.0
-0.328,-0.135,-0.035,1.0
0.305,0.155,0.005,0.0
-0.544,-0.195,0.105,1.0
-0.207,-0.407,-0.019,1.0
0.368,-0.332,-0.032,0.0
0.368,-0.332,-0.032,0.0
0.368,-0.332,-0.032,0.0
-0.032,0.068,0.618,1.0
0.368,-0.332,-0.032,0.0
0.418,0.018,-0.032,1.0
0.418,0.018,-0.032,1.0
-0.469,-0.244,0.381,1.0
0.418,0.118,0.218,0.0
0.418,0.118,0.218,0.0
0.256,-0.207,0.193,1.0
0.056,-0.344,0.105,1.0
0.218,-0.294,-0.044,1.0
0.406,0.205,0.056,0.0
0.218,-0.294,-0.044,1.0
-0.519,-0.170,0.131,1.0
-0.519,-0.019,0.256,1.0
-0.469,0.081,0.155,1.0
-0.244,-0.294,0.131,1.0
-0.170,-0.519,0.331,1.0
-0.044,-0.270,0.606,1.0
0.056,-0.270,0.606,1.0
0.180,-0.170,0.606,1.0
0.231,-0.220,0.281,1.0
-0.469,-0.095,0.355,1.0
-0.378,-0.085,-0.035,1.0
-0.294,-0.095,0.256,1.0
-0.232,0.218,0.018,0.0
-0.382,-0.332,-0.032,0.0
-0.382,-0.332,-0.032,0.0
0.368,0.018,-0.032,1.0
0.368,0.018,-0.032,1.0
0.180,-0.294,0.131,1.0
0.368,0.118,0.168,1.0
0.368,0.118,0.168,1.0
-0.382,0.018,-0.032,1.0
-0.294,0.105,-0.007,1.0
0.056,-0.344,0.105,1.0
-0.320,-0.232,-0.044,1.0
-0.382,0.118,-0.032,1.0
-0.382,0.118,-0.032,0.0
-0.320,-0.232,-0.044,1.0
0.406,-0.082,-0.044,1.0
0.406,-0.082,-0.044,1.0
-0.469,-0.270,0.081,1.0
-0.519,-0.170,0.155,1.0
-0.519,-0.044,0.281,1.0
-0.170,-0.519,0.355,1.0
-0.070,-0.395,0.030,1.0
-0.070,-0.270,0.606,1.0
0.056,-0.395,0.030,1.0
0.155,-0.195,0.606,1.0
0.231,0.056,0.081,1.0
0.406,-0.195,0.456,1.0
0.341,-0.040,0.303,1.0
-0.378,-0.085,-0.035,1.0
-0.557,-0.207,0.093,0.0
-0.332,0.243,0.005,1.0
0.368,0.118,0.218,1.0
0.368,0.118,0.218,1.0
0.218,-0.532,-0.032,0.0
-0.482,-0.182,0.418,1.0
-0.170,0.030,0.406,0.0
-0.320,-0.182,-0.044,1.0
-0.382,0.068,-0.032,1.0
-0.382,0.068,-0.032,1.0
-0.320,-0.182,-0.044,1.0
-0.182,-0.257,0.005,0.0
-0.469,-0.220,0.030,1.0
-0.519,-0.170,0.180,1.0
-0.519,-0.044,0.331,1.0
-0.320,0.056,0.030,1.0
-0.244,-0.294,0.180,1.0
-0.170,-0.519,0.281,1.0
-0.070,-0.270,0.606,1.0
0.056,-0.395,0.030,1.0
0.005,-0.270,0.606,1.0
0.155,-0.244,0.606,1.0
0.406,-0.195,0.456,1.0
