# x,y,z,is_reachable
0.385,-0.348,0.049,1.0
0.284,-0.113,0.284,1.0
-0.307,-0.057,0.118,1.0
-0.232,-0.232,0.218,1.0
0.068,-0.532,0.293,1.0
0.193,-0.457,-0.007,1.0
0.118,-0.282,0.318,1.0
0.118,-0.232,0.368,1.0
0.243,-0.432,0.393,1.0
0.218,-0.132,0.368,1.0
0.268,-0.032,0.418,1.0
0.293,-0.207,0.168,1.0
0.293,-0.182,0.243,1.0
0.293,-0.157,0.168,1.0
0.268,-0.132,0.318,1.0
0.339,-0.017,0.133,1.0
0.339,0.008,0.469,1.0
-0.428,-0.378,0.364,1.0
0.339,-0.022,0.364,0.0
-0.532,-0.082,0.418,0.0
-0.532,0.018,0.068,1.0
-0.482,-0.132,0.468,1.0
-0.407,-0.457,0.293,0.0
-0.432,-0.432,0.218,1.0
-0.382,-0.382,0.468,0.0
-0.282,-0.182,0.268,1.0
-0.432,-0.132,0.518,1.0
-0.323,0.049,0.309,1.0
-0.198,-0.097,0.364,1.0
-0.232,-0.532,0.068,1.0
-0.182,-0.532,0.418,1.0
0.168,-0.532,0.418,1.0
0.193,-0.457,0.443,1.0
0.218,-0.432,0.518,1.0
0.168,-0.282,0.618,1.0
0.168,-0.282,0.068,1.0
0.218,-0.032,0.318,1.0
0.268,-0.032,0.068,0.0
0.393,-0.307,-0.007,1.0
0.243,-0.007,0.268,1.0
-0.532,-0.232,0.218,1.0
-0.457,-0.157,0.393,1.0
-0.532,0.018,0.318,1.0
-0.482,0.068,0.368,1.0
-0.482,0.068,0.468,1.0
-0.407,-0.307,-0.007,1.0
-0.432,-0.332,0.418,1.0
-0.407,-0.207,0.443,1.0
-0.332,-0.032,0.618,1.0
-0.282,0.118,0.218,1.0
-0.182,-0.282,0.118,0.0
-0.182,-0.282,0.168,1.0
-0.382,-0.207,0.443,1.0
-0.232,0.018,0.368,1.0
-0.232,-0.007,0.443,1.0
-0.082,-0.282,0.218,1.0
0.083,-0.609,0.289,1.0
0.083,-0.584,0.289,1.0
0.083,-0.609,0.289,1.0
0.193,-0.182,0.643,1.0
0.418,-0.432,0.168,1.0
0.368,-0.432,0.418,0.0
0.418,-0.132,0.518,1.0
0.468,-0.182,0.468,1.0
-0.378,-0.403,0.033,1.0
-0.302,-0.098,0.083,0.0
-0.532,-0.232,0.218,1.0
-0.282,-0.032,0.418,1.0
-0.407,0.193,0.043,1.0
-0.257,-0.207,0.293,1.0
-0.282,-0.432,0.468,1.0
0.018,-0.532,0.418,1.0
0.018,-0.332,0.618,1.0
0.018,-0.532,0.418,1.0
0.018,-0.332,0.018,0.0
0.018,-0.332,0.618,1.0
0.418,-0.432,0.168,1.0
0.393,-0.307,-0.007,1.0
0.418,-0.332,0.418,1.0
0.418,0.018,0.368,0.0
0.468,0.018,0.368,1.0
-0.378,-0.428,0.364,1.0
-0.223,-0.047,0.519,1.0
0.389,-0.302,0.009,1.0
-0.532,-0.082,0.418,0.0
-0.407,-0.307,-0.007,1.0
-0.432,-0.432,0.218,1.0
-0.382,-0.182,0.568,1.0
-0.282,-0.132,0.168,1.0
-0.163,-0.113,0.360,1.0
0.018,-0.282,0.218,0.0
0.268,-0.382,0.518,1.0
0.268,0.018,0.418,1.0
0.364,0.033,0.494,1.0
0.494,0.108,0.083,1.0
-0.532,-0.232,0.068,1.0
-0.532,-0.232,0.318,1.0
-0.257,0.293,0.093,0.0
