# x,y,z,is_reachable
0.512,-0.176,0.162,1.0
-0.080,-0.572,0.090,1.0
-0.369,-0.432,0.281,1.0
-0.226,-0.326,0.561,1.0
0.024,-0.526,0.362,1.0
-0.082,-0.019,0.693,1.0
-0.344,0.018,0.093,1.0
-0.238,-0.126,0.062,0.0
-0.216,-0.013,0.406,1.0
0.212,-0.076,0.324,1.0
-0.238,-0.126,0.062,1.0
-0.082,-0.513,0.030,1.0
-0.026,-0.526,0.362,1.0
0.512,-0.176,0.211,1.0
-0.001,-0.614,0.299,1.0
-0.494,-0.307,0.068,1.0
-0.001,-0.614,0.299,1.0
0.569,-0.024,0.279,1.0
-0.082,-0.513,0.030,1.0
-0.494,-0.232,-0.007,0.0
-0.407,0.105,0.293,0.0
-0.494,-0.232,-0.007,0.0
-0.407,0.105,0.293,0.0
-0.001,-0.589,0.299,1.0
-0.170,-0.419,-0.048,1.0
0.218,-0.182,0.268,1.0
-0.089,-0.570,0.075,1.0
-0.426,0.174,-0.013,1.0
-0.170,-0.419,-0.048,1.0
-0.182,0.168,0.018,1.0
0.118,0.318,0.018,1.0
0.569,-0.024,0.303,1.0
0.024,-0.526,0.362,1.0
-0.007,-0.407,0.518,1.0
0.231,-0.395,0.456,1.0
0.193,0.268,0.143,1.0
0.218,-0.582,0.193,1.0
-0.082,-0.019,0.693,1.0
0.462,0.174,0.074,0.0
-0.182,0.043,0.593,0.0
-0.270,0.293,-0.001,1.0
0.581,-0.119,0.180,1.0
0.581,-0.119,0.180,1.0
-0.369,-0.432,0.281,1.0
0.571,0.073,0.073,0.0
-0.395,-0.032,0.093,1.0
-0.288,0.062,0.162,1.0
-0.207,-0.407,0.418,1.0
0.218,-0.582,0.193,1.0
0.530,-0.294,0.205,1.0
-0.182,0.168,0.068,0.0
-0.182,0.268,0.068,0.0
-0.089,-0.570,0.075,1.0
0.569,-0.024,0.279,1.0
0.283,0.002,0.646,1.0
-0.294,-0.544,0.205,1.0
-0.207,-0.432,0.393,1.0
-0.007,-0.432,0.493,1.0
0.512,-0.176,0.211,1.0
0.480,-0.032,0.068,1.0
0.562,-0.226,0.211,0.0
0.068,0.343,0.093,0.0
-0.257,0.318,-0.007,0.0
0.161,-0.125,0.086,0.0
0.005,0.056,0.581,0.0
-0.160,-0.098,0.657,1.0
0.118,0.318,0.018,1.0
-0.294,-0.544,0.180,1.0
-0.257,0.193,0.118,0.0
-0.157,-0.107,0.668,1.0
-0.026,-0.526,0.362,1.0
-0.044,-0.220,0.655,1.0
0.406,-0.195,0.406,1.0
0.393,0.093,0.543,0.0
0.512,-0.176,0.162,1.0
-0.507,0.118,0.343,0.0
-0.001,-0.589,0.299,1.0
-0.419,-0.519,0.131,0.0
0.162,0.162,0.187,1.0
0.318,0.268,0.018,1.0
0.271,0.089,0.634,0.0
-0.433,-0.302,0.133,1.0
-0.044,-0.220,0.655,1.0
0.168,-0.307,0.293,1.0
0.530,-0.294,0.205,1.0
-0.182,0.093,0.643,0.0
0.018,0.118,0.693,0.0
0.581,-0.119,0.180,1.0
0.162,0.137,0.187,0.0
0.143,0.293,-0.007,0.0
-0.519,-0.119,0.231,1.0
-0.288,0.062,0.162,1.0
0.180,-0.445,0.381,1.0
0.406,-0.195,0.406,1.0
0.530,-0.294,0.205,1.0
-0.494,-0.144,0.256,1.0
-0.582,0.093,0.193,0.0
-0.019,0.030,0.581,0.0
-0.080,-0.572,0.090,1.0
-0.113,-0.348,-0.075,0.0
0.106,-0.108,0.625,1.0
-0.469,0.105,0.105,1.0
-0.288,0.062,0.162,1.0
-0.332,-0.407,0.118,1.0
-0.132,-0.513,0.030,1.0
0.268,-0.557,0.193,1.0
0.419,-0.302,0.108,1.0
0.530,-0.294,0.180,1.0
0.530,-0.095,0.005,0.0
-0.195,0.180,0.005,0.0
-0.132,-0.307,-0.044,0.0
0.068,0.180,0.118,0.0
0.193,0.093,0.093,0.0
-0.135,-0.198,0.657,1.0
-0.340,-0.459,0.301,1.0
-0.294,-0.544,0.180,1.0
-0.282,-0.407,0.068,1.0
-0.007,-0.407,0.518,1.0
0.193,-0.532,0.143,1.0
0.519,-0.122,0.133,1.0
-0.294,0.062,0.606,1.0
-0.082,0.268,0.168,0.0
0.081,0.030,0.706,0.0
0.168,0.043,-0.007,0.0
0.518,0.193,0.043,0.0
-0.432,0.193,0.005,1.0
-0.113,-0.547,-0.062,0.0
-0.232,-0.107,0.005,1.0
0.296,0.240,0.040,1.0
-0.369,-0.432,0.305,1.0
-0.432,-0.307,0.143,1.0
-0.288,0.062,0.162,1.0
-0.294,-0.544,0.180,1.0
-0.207,0.243,0.118,0.0
-0.132,-0.532,0.293,1.0
0.418,-0.121,0.463,1.0
-0.119,-0.019,0.655,1.0
-0.320,0.205,0.056,1.0
0.180,0.131,0.180,0.0
-0.015,-0.570,0.316,1.0
-0.132,-0.407,-0.044,1.0
0.321,-0.011,0.634,0.0
-0.085,-0.072,0.607,1.0
-0.584,-0.072,0.289,0.0
-0.395,-0.344,0.256,1.0
-0.132,-0.513,0.030,1.0
-0.007,-0.532,0.343,1.0
0.131,0.180,0.030,1.0
0.293,-0.182,0.518,1.0
-0.057,-0.007,0.718,0.0
0.193,-0.032,0.043,0.0
0.493,0.118,0.243,0.0
-0.057,-0.307,-0.032,0.0
-0.419,-0.519,0.231,0.0
-0.419,-0.519,0.231,0.0
0.569,-0.024,0.303,1.0
0.211,0.162,0.212,1.0
0.288,0.264,0.033,1.0
-0.182,0.168,0.018,1.0
-0.207,0.093,0.093,1.0
-0.135,-0.098,0.657,1.0
-0.395,-0.344,0.256,1.0
-0.344,0.018,0.093,1.0
-0.195,-0.445,0.381,1.0
-0.157,-0.107,0.668,1.0
0.180,-0.294,0.530,1.0
0.193,0.243,0.018,1.0
-0.207,0.043,0.568,0.0
-0.119,-0.019,0.655,1.0
0.343,0.093,0.618,0.0
0.493,0.118,0.243,0.0
-0.407,-0.282,0.343,1.0
-0.087,-0.087,0.732,0.0
0.068,0.343,-0.007,0.0
-0.082,0.143,-0.007,0.0
0.180,0.005,0.655,1.0
0.581,-0.095,0.180,1.0
-0.407,0.093,0.393,0.0
0.231,0.105,-0.019,0.0
-0.195,0.105,0.081,1.0
0.143,0.393,-0.032,0.0
-0.532,-0.057,0.193,1.0
-0.407,-0.332,0.268,1.0
-0.294,-0.544,0.205,1.0
-0.282,-0.407,0.068,1.0
-0.257,-0.107,0.668,0.0
0.193,-0.307,0.518,1.0
0.343,0.093,0.593,0.0
0.562,-0.226,0.162,1.0
0.568,-0.007,0.043,0.0
0.118,0.168,0.018,0.0
-0.595,-0.244,0.056,0.0
-0.119,0.005,0.456,0.0
0.180,-0.095,0.056,0.0
0.262,0.112,0.011,0.0
-0.157,0.093,-0.032,0.0
-0.182,0.168,0.218,1.0
0.193,0.343,-0.032,0.0
-0.407,-0.332,0.343,1.0
-0.257,-0.582,0.193,0.0
-0.294,-0.544,0.205,1.0
-0.122,-0.533,0.289,1.0
-0.119,-0.519,0.281,1.0
-0.082,-0.282,0.368,1.0
0.143,-0.507,0.068,1.0
0.168,-0.532,0.193,1.0
0.118,-0.332,0.168,1.0
0.193,-0.407,0.418,1.0
0.193,0.243,0.018,1.0
0.456,-0.318,0.113,1.0
0.518,-0.157,0.193,1.0
0.518,-0.057,0.193,1.0
0.530,-0.294,0.180,1.0
-0.378,0.008,0.544,1.0
-0.007,0.043,0.718,0.0
-0.057,-0.007,0.718,0.0
-0.007,0.043,0.718,0.0
-0.419,-0.170,0.606,0.0
-0.302,0.276,0.021,1.0
0.404,0.051,0.175,0.0
-0.244,-0.119,0.331,1.0
0.469,0.188,0.126,0.0
0.231,-0.019,0.205,0.0
-0.115,-0.545,0.051,1.0
-0.344,0.218,-0.101,0.0
-0.207,0.143,-0.032,0.0
-0.195,0.105,0.081,1.0
0.118,0.293,-0.007,0.0
-0.533,-0.122,0.133,1.0
-0.469,0.105,0.105,1.0
-0.282,-0.107,0.643,1.0
-0.182,-0.532,0.193,1.0
-0.057,0.218,0.093,0.0
-0.007,-0.532,0.343,1.0
0.418,-0.232,0.393,1.0
-0.257,0.093,-0.032,1.0
0.443,0.193,-0.032,0.0
-0.057,0.293,0.218,0.0
0.043,0.093,0.718,0.0
-0.570,-0.195,0.281,0.0
0.381,0.081,0.530,0.0
0.381,0.205,0.105,0.0
-0.525,0.018,0.505,0.0
0.081,0.030,0.706,0.0
0.068,-0.232,0.668,1.0
-0.344,0.168,-0.101,0.0
0.180,0.056,-0.019,0.0
-0.170,0.056,0.281,0.0
-0.107,0.143,-0.032,0.0
0.180,0.081,0.081,0.0
-0.394,-0.017,0.053,1.0
0.143,0.293,-0.032,0.0
-0.533,-0.098,0.133,1.0
-0.526,0.024,0.124,1.0
-0.407,0.143,0.168,1.0
-0.352,-0.433,0.108,1.0
-0.307,-0.007,0.118,1.0
-0.282,-0.107,0.668,0.0
-0.257,-0.107,0.668,0.0
-0.220,0.030,0.305,1.0
0.193,-0.332,0.493,1.0
0.143,-0.107,0.668,1.0
0.243,-0.582,0.193,0.0
0.268,-0.407,0.068,1.0
0.256,-0.119,0.606,1.0
0.243,0.018,0.193,0.0
0.430,-0.294,0.205,1.0
0.494,-0.072,0.314,1.0
0.243,-0.032,-0.007,1.0
0.343,-0.007,0.618,0.0
-0.507,0.043,0.518,0.0
0.068,0.143,0.093,0.0
0.143,0.293,0.218,0.0
-0.207,0.293,0.093,1.0
0.518,0.188,0.126,0.0
-0.170,0.081,0.655,0.0
-0.405,0.038,0.379,1.0
-0.019,0.056,0.581,0.0
-0.207,-0.082,0.005,0.0
0.186,0.137,0.187,1.0
0.211,-0.626,0.074,0.0
-0.395,0.168,-0.051,0.0
0.180,0.105,0.005,1.0
-0.157,0.193,-0.032,1.0
0.212,0.224,0.162,0.0
-0.082,-0.407,-0.044,1.0
0.321,0.089,0.634,0.0
-0.110,-0.198,0.657,1.0
-0.582,0.043,0.193,1.0
-0.282,-0.007,0.243,1.0
-0.332,-0.007,0.093,1.0
-0.307,-0.432,0.118,1.0
-0.232,0.243,0.093,1.0
-0.244,-0.395,0.456,1.0
-0.182,-0.107,0.668,1.0
-0.057,-0.507,0.068,1.0
-0.007,-0.032,0.618,1.0
0.168,-0.532,0.193,1.0
0.131,0.281,0.030,0.0
0.243,-0.532,0.193,1.0
0.168,-0.307,0.293,1.0
0.243,-0.007,0.218,0.0
