Timestamp,Reading
2025-11-19 15:54:28.714,0.0
2025-11-19 15:54:28.970,0.0
2025-11-19 15:54:29.218,0.0
2025-11-19 15:54:29.476,0.0
2025-11-19 15:54:29.726,0.0
2025-11-19 15:54:29.984,0.0
2025-11-19 15:54:30.247,0.0
2025-11-19 15:54:30.497,0.0
2025-11-19 15:54:30.749,0.0
2025-11-19 15:54:31.009,0.0
2025-11-19 15:54:31.268,0.0
2025-11-19 15:54:31.288,0.0
2025-11-19 15:54:31.403,0.0
2025-11-19 15:54:31.528,0.0
2025-11-19 15:54:31.652,0.0
2025-11-19 15:54:31.777,0.0
2025-11-19 15:54:31.900,0.0
2025-11-19 15:54:32.025,0.0
2025-11-19 15:54:32.139,0.0
2025-11-19 15:54:32.264,0.0
2025-11-19 15:54:32.388,0.0
2025-11-19 15:54:32.514,0.0
2025-11-19 15:54:32.629,0.0
2025-11-19 15:54:32.753,0.0
2025-11-19 15:54:32.878,0.0
2025-11-19 15:54:33.000,0.0
2025-11-19 15:54:33.122,0.0
2025-11-19 15:54:33.247,0.0
2025-11-19 15:54:33.371,0.17
2025-11-19 15:54:33.496,2.43
2025-11-19 15:54:33.610,6.47
2025-11-19 15:54:33.736,8.88
2025-11-19 15:54:33.861,10.42
2025-11-19 15:54:33.986,10.82
2025-11-19 15:54:34.101,10.59
2025-11-19 15:54:34.226,8.18
2025-11-19 15:54:34.350,5.54
2025-11-19 15:54:34.475,3.83
2025-11-19 15:54:34.589,2.54
2025-11-19 15:54:34.716,0.99
2025-11-19 15:54:34.842,0.14
2025-11-19 15:54:34.965,4.28
2025-11-19 15:54:35.090,9.95
2025-11-19 15:54:35.206,11.3
2025-11-19 15:54:35.331,7.25
2025-11-19 15:54:35.455,4.79
2025-11-19 15:54:35.570,4.31
2025-11-19 15:54:35.696,6.54
2025-11-19 15:54:35.820,9.23
2025-11-19 15:54:35.945,8.64
2025-11-19 15:54:36.069,6.67
2025-11-19 15:54:36.184,5.7
2025-11-19 15:54:36.309,5.23
2025-11-19 15:54:36.433,6.89
2025-11-19 15:54:36.559,9.28
2025-11-19 15:54:36.673,9.91
2025-11-19 15:54:36.799,9.84
2025-11-19 15:54:36.924,8.66
2025-11-19 15:54:37.049,7.38
2025-11-19 15:54:37.163,6.1
2025-11-19 15:54:37.288,7.17
2025-11-19 15:54:37.413,9.52
2025-11-19 15:54:37.539,10.76
2025-11-19 15:54:37.654,9.27
2025-11-19 15:54:37.781,6.75
2025-11-19 15:54:37.906,5.52
2025-11-19 15:54:38.029,4.87
2025-11-19 15:54:38.144,6.96
2025-11-19 15:54:38.268,11.25
2025-11-19 15:54:38.394,13.6
2025-11-19 15:54:38.519,13.64
2025-11-19 15:54:38.644,10.49
2025-11-19 15:54:38.759,4.53
2025-11-19 15:54:38.884,3.2
2025-11-19 15:54:39.009,5.18
2025-11-19 15:54:39.124,10.52
2025-11-19 15:54:39.250,13.51
2025-11-19 15:54:39.376,13.64
2025-11-19 15:54:39.500,9.94
2025-11-19 15:54:39.616,5.36
2025-11-19 15:54:39.740,2.96
2025-11-19 15:54:39.865,3.06
2025-11-19 15:54:39.990,3.09
2025-11-19 15:54:40.104,1.1
2025-11-19 15:54:40.231,0.0
2025-11-19 15:54:40.356,0.0
2025-11-19 15:54:40.481,0.86
2025-11-19 15:54:40.595,5.11
2025-11-19 15:54:40.722,9.95
2025-11-19 15:54:40.847,13.06
2025-11-19 15:54:40.972,13.64
2025-11-19 15:54:41.087,6.41
2025-11-19 15:54:41.210,0.0
2025-11-19 15:54:41.335,0.0
2025-11-19 15:54:41.459,0.0
2025-11-19 15:54:41.584,1.81
2025-11-19 15:54:41.699,10.75
2025-11-19 15:54:41.823,13.64
2025-11-19 15:54:41.948,10.72
2025-11-19 15:54:42.073,4.51
2025-11-19 15:54:42.188,0.08
2025-11-19 15:54:42.313,0.5
2025-11-19 15:54:42.437,6.14
2025-11-19 15:54:42.563,12.53
2025-11-19 15:54:42.678,12.26
2025-11-19 15:54:42.804,3.38
2025-11-19 15:54:42.929,0.95
2025-11-19 15:54:43.052,0.0
2025-11-19 15:54:43.174,0.0
2025-11-19 15:54:43.300,0.0
2025-11-19 15:54:43.414,0.0
2025-11-19 15:54:43.540,0.0
2025-11-19 15:54:43.664,0.0
2025-11-19 15:54:43.788,0.0
2025-11-19 15:54:43.905,0.0
2025-11-19 15:54:44.030,0.0
2025-11-19 15:54:44.156,0.0
2025-11-19 15:54:44.280,0.0
2025-11-19 15:54:44.396,0.0
2025-11-19 15:54:44.520,0.0
2025-11-19 15:54:44.646,0.0
2025-11-19 15:54:44.771,0.0
2025-11-19 15:54:44.886,0.0
2025-11-19 15:54:45.009,0.0
2025-11-19 15:54:45.135,0.77
2025-11-19 15:54:45.260,4.14
2025-11-19 15:54:45.386,5.73
2025-11-19 15:54:45.499,6.57
2025-11-19 15:54:45.625,6.99
2025-11-19 15:54:45.751,7.46
2025-11-19 15:54:45.877,6.95
2025-11-19 15:54:45.991,5.73
2025-11-19 15:54:46.117,5.73
2025-11-19 15:54:46.242,5.73
2025-11-19 15:54:46.357,5.83
2025-11-19 15:54:46.481,6.46
2025-11-19 15:54:46.607,6.91
2025-11-19 15:54:46.733,7.26
2025-11-19 15:54:46.847,9.9
2025-11-19 15:54:46.971,13.35
2025-11-19 15:54:47.098,13.64
2025-11-19 15:54:47.223,13.24
2025-11-19 15:54:47.339,12.63
2025-11-19 15:54:47.464,12.63
2025-11-19 15:54:47.589,12.32
2025-11-19 15:54:47.715,11.63
2025-11-19 15:54:47.828,10.51
2025-11-19 15:54:47.953,8.62
2025-11-19 15:54:48.077,6.47
2025-11-19 15:54:48.202,4.91
2025-11-19 15:54:48.318,3.02
2025-11-19 15:54:48.442,2.33
2025-11-19 15:54:48.567,0.32
2025-11-19 15:54:48.692,0.0
2025-11-19 15:54:48.808,0.0
2025-11-19 15:54:48.933,0.0
2025-11-19 15:54:49.056,0.0
2025-11-19 15:54:49.181,0.0
2025-11-19 15:54:49.306,0.24
2025-11-19 15:54:49.421,0.8
2025-11-19 15:54:49.547,1.41
2025-11-19 15:54:49.672,2.6
2025-11-19 15:54:49.798,4.49
2025-11-19 15:54:49.914,5.54
2025-11-19 15:54:50.037,5.79
2025-11-19 15:54:50.161,5.79
2025-11-19 15:54:50.286,4.73
2025-11-19 15:54:50.411,2.94
2025-11-19 15:54:50.525,0.97
2025-11-19 15:54:50.651,0.32
2025-11-19 15:54:50.776,0.0
2025-11-19 15:54:50.901,0.0
2025-11-19 15:54:51.015,0.0
2025-11-19 15:54:51.140,0.0
2025-11-19 15:54:51.265,0.0
2025-11-19 15:54:51.390,0.0
2025-11-19 15:54:51.515,0.0
2025-11-19 15:54:51.629,0.0
2025-11-19 15:54:51.754,0.0
2025-11-19 15:54:51.879,0.0
2025-11-19 15:54:52.004,0.0
2025-11-19 15:54:52.120,0.0
2025-11-19 15:54:52.245,0.0
2025-11-19 15:54:52.373,0.0
2025-11-19 15:54:52.487,0.0
2025-11-19 15:54:52.611,0.0
2025-11-19 15:54:52.738,0.0
2025-11-19 15:54:52.863,0.0
2025-11-19 15:54:52.986,0.0
2025-11-19 15:54:53.108,0.0
2025-11-19 15:54:53.221,0.0
2025-11-19 15:54:53.346,0.0
2025-11-19 15:54:53.469,0.0
2025-11-19 15:54:53.595,0.0
2025-11-19 15:54:53.721,0.0
2025-11-19 15:54:53.836,0.0
2025-11-19 15:54:53.961,0.0
2025-11-19 15:54:54.085,0.0
2025-11-19 15:54:54.210,0.0
2025-11-19 15:54:54.325,0.0
2025-11-19 15:54:54.449,0.0
2025-11-19 15:54:54.574,0.0
2025-11-19 15:54:54.699,0.0
2025-11-19 15:54:54.825,0.0
2025-11-19 15:54:54.940,0.0
2025-11-19 15:54:55.064,0.0
2025-11-19 15:54:55.188,0.0
2025-11-19 15:54:55.314,0.0
2025-11-19 15:54:55.429,0.0
2025-11-19 15:54:55.555,0.0
2025-11-19 15:54:55.680,0.0
2025-11-19 15:54:55.805,0.0
2025-11-19 15:54:55.920,0.0
2025-11-19 15:54:56.045,0.0
2025-11-19 15:54:56.170,0.0
2025-11-19 15:54:56.296,0.0
2025-11-19 15:54:56.410,0.0
2025-11-19 15:54:56.535,0.0
2025-11-19 15:54:56.660,0.0
2025-11-19 15:54:56.776,0.0
2025-11-19 15:54:56.901,0.0
2025-11-19 15:54:57.025,0.0
2025-11-19 15:54:57.151,0.0
2025-11-19 15:54:57.276,0.0
2025-11-19 15:54:57.391,0.0
2025-11-19 15:54:57.517,0.0
2025-11-19 15:54:57.642,0.0
2025-11-19 15:54:57.756,0.0
