# x,y,z,is_reachable
0.519,-0.122,0.389,1.0
0.480,-0.007,-0.007,1.0
0.518,0.118,0.143,1.0
0.414,-0.378,0.046,1.0
0.205,-0.119,0.331,1.0
0.256,-0.182,0.231,1.0
-0.177,-0.102,0.329,1.0
-0.393,-0.430,0.038,0.0
0.201,-0.127,0.328,1.0
0.505,0.018,0.005,1.0
-0.077,-0.532,0.518,0.0
0.337,-0.484,0.312,1.0
0.418,-0.469,0.231,0.0
0.468,0.043,-0.032,0.0
-0.077,-0.532,0.518,0.0
0.005,0.105,0.668,0.0
0.418,-0.469,0.231,0.0
0.418,0.030,0.555,1.0
-0.539,-0.259,0.102,0.0
-0.082,-0.570,0.318,1.0
-0.576,-0.013,0.149,1.0
-0.382,-0.244,-0.032,1.0
-0.122,-0.533,0.457,0.0
-0.122,-0.533,0.457,0.0
0.108,-0.533,0.457,0.0
0.108,-0.483,0.507,1.0
0.256,-0.182,0.005,1.0
-0.382,-0.244,-0.032,1.0
0.108,-0.533,0.457,1.0
-0.077,-0.015,0.569,1.0
0.256,-0.232,-0.032,1.0
0.256,-0.232,-0.032,1.0
-0.065,-0.570,0.316,1.0
0.138,-0.570,0.101,1.0
0.303,-0.052,0.391,1.0
0.266,0.026,0.163,1.0
0.362,0.004,0.128,1.0
0.366,0.025,0.025,1.0
-0.098,-0.533,0.457,1.0
-0.098,-0.533,0.457,1.0
-0.363,0.041,0.495,1.0
-0.494,0.093,0.406,1.0
0.066,-0.572,0.312,1.0
0.218,-0.270,0.155,1.0
0.444,-0.365,0.096,1.0
-0.350,0.028,0.374,1.0
-0.088,-0.038,0.374,1.0
-0.082,0.018,0.593,0.0
0.236,-0.001,0.299,1.0
0.339,-0.483,0.314,1.0
-0.382,-0.182,0.381,1.0
0.138,-0.027,0.416,1.0
-0.082,0.018,0.593,0.0
0.088,-0.027,0.518,1.0
-0.494,0.093,0.406,1.0
0.266,0.025,0.163,1.0
-0.550,-0.001,0.262,1.0
-0.238,-0.413,-0.032,1.0
-0.550,-0.001,0.262,1.0
0.162,-0.276,0.112,1.0
-0.550,-0.038,0.299,1.0
-0.189,-0.538,0.374,1.0
-0.292,-0.096,-0.034,1.0
-0.292,-0.096,-0.034,1.0
-0.476,-0.288,0.424,0.0
-0.380,-0.134,-0.052,0.0
-0.380,-0.134,-0.052,0.0
-0.088,-0.107,0.702,0.0
0.225,-0.226,0.149,0.0
-0.488,-0.088,0.412,1.0
-0.019,-0.573,-0.013,0.0
0.074,-0.363,0.024,1.0
0.074,-0.363,0.024,1.0
-0.276,0.205,-0.072,0.0
-0.380,-0.134,-0.052,0.0
-0.380,-0.134,-0.052,0.0
0.437,-0.132,-0.038,1.0
0.437,-0.132,-0.038,1.0
-0.189,-0.344,-0.054,0.0
-0.238,-0.270,-0.029,1.0
-0.238,-0.270,-0.029,1.0
0.259,-0.185,0.115,1.0
0.371,0.183,-0.009,1.0
-0.288,0.074,0.062,0.0
0.310,-0.029,0.071,0.0
-0.189,-0.344,-0.054,0.0
-0.282,-0.432,0.430,1.0
0.259,-0.185,0.115,0.0
-0.264,0.218,-0.029,1.0
0.569,0.026,0.254,1.0
-0.489,-0.340,0.314,0.0
0.380,-0.035,0.386,1.0
0.421,0.183,-0.010,1.0
0.421,0.183,-0.010,1.0
-0.382,0.081,0.418,0.0
-0.288,0.074,0.062,1.0
0.474,-0.238,0.424,1.0
-0.182,-0.382,0.555,1.0
0.493,-0.132,0.018,1.0
0.474,-0.238,0.424,1.0
-0.110,-0.147,0.657,1.0
-0.344,-0.432,0.368,1.0
0.024,-0.326,0.211,1.0
0.556,-0.065,0.101,1.0
0.274,0.199,-0.001,0.0
0.549,0.007,0.347,1.0
-0.513,0.087,0.400,1.0
-0.513,0.087,0.400,1.0
-0.437,0.072,0.493,1.0
-0.350,0.218,-0.042,1.0
0.546,-0.185,0.171,1.0
-0.236,-0.035,0.424,1.0
-0.070,-0.535,0.011,1.0
0.537,-0.201,0.211,1.0
-0.070,-0.535,0.011,1.0
-0.363,-0.019,0.068,1.0
-0.254,0.071,0.171,1.0
-0.032,-0.469,0.518,1.0
0.537,-0.201,0.211,1.0
0.499,-0.019,0.030,1.0
-0.025,-0.238,0.674,1.0
0.546,-0.185,0.171,1.0
-0.470,-0.330,0.138,1.0
-0.025,-0.238,0.674,1.0
-0.563,-0.113,0.237,1.0
-0.254,0.071,0.171,1.0
-0.475,0.112,0.137,1.0
-0.254,0.071,0.171,1.0
-0.340,-0.459,0.096,1.0
-0.344,-0.484,0.318,1.0
-0.294,-0.432,0.030,1.0
-0.235,-0.117,0.034,1.0
-0.254,0.071,0.171,1.0
-0.314,0.174,0.074,1.0
0.211,-0.326,0.561,1.0
-0.432,-0.320,0.368,1.0
-0.570,-0.057,0.193,1.0
-0.432,-0.369,0.281,1.0
-0.294,-0.432,0.030,1.0
-0.432,-0.344,0.368,1.0
